resource_number,year,geo_coord_original,paper_page_number,source_index
455,1940,10D723,9,S
452,1958,11D824,9,S
755,1924,10D827,9,S
32,1942,10E833,9,S
138,1920,12B935,9,S
277,1965,16D924,9,S
303,1950,16D924,9,S
1785,1920,16E124,9,S
360,1915,16D823,9,S
887,1930,13D626,9,S
526,1912,16D924,9,S
427,1946,10D824,9,S
532,1946,10D824,9,S
1079,1962,11D825,9,S
1901,1910,10D418,9,S
891,1870,10D824,9,S
531,1906,10D824,9,S
568,1903,10D824,9,S
453,1920,15D626,9,S
433,1920,15D626,9,S
2127,1910,11D825,9,S
282,1968,99D823,9,S
209,1906,10D825,9,S
1721,1910,24D621,10,S
122,1918,10D926,10,S
407,1913,15D826,10,S
533,1910,10D825,10,S
1824,1914,10D925,10,S
260,1965,10D825,10,S
251,1910,15D825,10,S
1078,1962,11D825,10,S
378,1968,10D824,10,S
883,1902,10D824,10,S
568,1903,10D824,10,S
182,1890,10D724,10,S
568,1903,10D824,10,S
209,1906,10D825,10,S
729,1951,11D926,10,S
701,1900,10D824,10,S
398,1897,10D825,10,S
179,1900,10D825,10,S
183,1960,13D825,10,S
296,1954,10D824,10,S
2101,1885,10D824,10,S
1732,1914,10D824,10,S
1740,1914,10D824,10,S
608,1961,11D824,10,S
601,1900,10D824,10,S
700,1940,11D824,10,S
470,1970,10D723,10,S
610,1969,12C229,10,S
506,1945,10D622,10,S
418,1927,12D724,10,S
1079,1962,11D825,11,S
123,1966,10D825,11,S
124,1897,11D825,11,S
130,1905,10B935,11,S
228,1967,11D824,11,S
342,1906,10D824,11,S
427,1946,10D824,11,S
437,1917,10D825,11,S
446,1950,11D825,11,S
462,1945,10D824,11,S
463,1960,10D825,11,S
504,1894,10D825,11,S
576,1900,10D825,11,S
761,1946,10D824,11,S
878,1940,10D824,11,S
324,1892,10D824,11,S
415,1908,11D824,11,S
236,1899,10D824,11,S
451,1955,11D824,11,S
403,1900,10D825,11,S
398,1897,10D825,11,S
408,1913,10D825,11,S
1031,1930,11D825,11,S
711,1910,11D825,11,S
89,1868,14D725,11,S
87,1900,11D825,11,S
181,1930,10D825,11,S
890,1870,10D824,11,S
593,1892,10D824,11,S
179,1900,10D825,11,S
25,1950,10D724,11,S
594,1900,10D824,11,S
699,1896,10D824,11,S
568,1903,10D824,11,S
1078,1962,11D825,11,S
1830,1925,11D825,11,S
2101,1885,10D824,11,S
219,1920,10D824,11,S
539,1926,20E223,11,S
1973,1945,10D824,12,S
1941,1910,10D824,12,S
2044,1940,10E027,12,S
399,1891,10D824,12,S
1721,1910,24D621,12,S
168,1966,10D924,12,S
169,1966,10D924,12,S
82,1957,10D824,12,S
1781,1940,10D924,12,S
90,1956,10D824,12,S
225,1968,13D725,12,S
475,1900,13D725,12,S
462,1945,10D824,12,S
488,1922,11E126,12,S
145,1960,11D825,12,S
451,1955,11D824,12,S
746,1966,11D824,12,S
259,1967,11D928,12,S
446,1950,11D825,12,S
228,1967,11D824,12,S
1282,1970,16D825,12,S
502,1900,28D823,12,S
1291,1900,10D723,13,S
109,1918,24D620,13,S
113,1897,24D620,13,S
2,1890,10D724,13,S
1458,1972,14D726,13,S
1449,1972,14D726,13,S
751,1931,16E124,13,S
1470,1890,18C141,13,S
1788,1880,16E124,14,S
1792,1910,16E422,14,S
556,1900,12D426,14,S
1300,1957,28D922,14,S
621,1943,99E832,14,S
564,1920,18C732,14,S
155,1890,10E935,14,S
732,1890,10E935,14,S
52,1890,12D725,14,S
167,1900,27E124,14,S
429,1880,27D724,14,S
167,1900,27E124,14,S
105,1925,23D626,14,S
1980,1920,13D626,14,S
1651,1938,23D626,14,S
2033,1914,13D626,14,S
1731,1914,24E318,14,S
1738,1914,24E318,14,S
1711,1910,13D318,14,S
1075,1960,11D825,14,S
1809,1914,16E224,14,S
2086,1901,10D722,14,S
1967,1898,10D925,15,S
1968,1898,10D925,15,S
1465,1935,10E131,15,S
417,1915,99F121,15,S
1954,1898,16E123,15,S
1057,1878,16E123,15,S
1675,1910,24D621,15,S
1685,1916,24D621,15,S
1699,1910,24D621,15,S
1705,1910,24D621,15,S
413,1940,10D625,15,S
1703,1910,24D621,15,S
1712,1910,24D621,15,S
1713,1910,24D621,15,S
1741,1910,24D621,15,S
1715,1910,24D621,15,S
1716,1910,24D621,15,S
1717,1910,24D621,15,S
1723,1910,24D621,15,S
1718,1910,24D621,15,S
1705,1910,24D621,15,S
1706,1910,24D621,15,S
1704,1910,24D621,15,S
1725,1910,24D621,15,S
453,1920,15D626,15,S
715,1920,15D626,15,S
1239,1939,10D623,16,S
874,1938,10D623,16,S
1470,1890,18C141,16,S
39,1890,18C637,16,S
114,1897,13D725,16,S
4,1860,19D521,16,S
552,1923,26D226,16,S
760,1881,18C143,16,S
1967,1898,10D925,16,S
1968,1898,10D925,16,S
2086,1909,10D722,16,S
1954,1898,16E123,16,S
1300,1957,28D922,17,S
23,1915,16E920,17,S
1355,1900,14D725,17,S
562,1930,11E028,17,S
742,1900,15D726,17,S
1448,1972,14D726,17,S
559,1910,11D825,17,S
722,1912,15D626,17,S
1080,1860,19D520,17,S
1632,1971,19D521,17,S
1291,1900,10D723,18,S
81,1900,12D824,18,S
109,1918,24D620,18,S
113,1897,24D620,18,S
110,1900,24D620,18,S
116,1900,24D620,18,S
112,1915,24D620,18,S
111,1915,24D620,18,S
877,1939,10D825,18,S
730,1920,11D825,18,S
1302,1913,27D823,18,S
1677,1910,24D621,18,S
1679,1910,24D621,18,S
1686,1910,24D621,18,S
908,1912,10D521,19,S
560,1910,10D824,19,S
2110,1928,20E323,19,S
436,1914,10D824,19,S
473,1910,10D824,19,S
519,1897,12D724,19,S
724,1925,15D626,20,S
614,1920,21D628,20,S
615,1910,21D628,20,S
474,1922,21D627,20,S
1750,1920,21D628,21,S
476,1928,20E322,21,S
1385,1902,12D624,21,S
397,1920,12B732,22,S
1383,1902,12D624,22,S
1382,1902,12D624,22,S
1385,1902,12B732,22,S
1380,1902,12D624,22,S
1384,1902,12D624,22,S
1381,1902,12D624,22,S
1386,1910,12B732,22,S
379,1920,12B732,22,S
1377,1910,12B732,22,S
171,1900,13E923,22,S
1580,1887,12D426,23,S
509,1883,12D426,23,S
1614,1920,14D726,24,S
1623,1899,13D721,25,S
1624,1899,13D721,25,S
1929,1900,12D425,25,S
1526,1904,12D425,25,S
1600,1898,12D525,25,S
1599,1898,12D525,25,S
1601,1898,12D525,25,S
548,1906,12D326,26,S
1598,1898,12D525,26,S
1539,1897,12D426,26,S
1591,1889,12D525,27,S
1610,1895,12D525,27,S
748,1920,10D825,28,S
173,1920,10D825,28,S
1531,1904,12D425,28,S
1538,1904,12D326,28,S
489,1921,21D627,28,S
563,1900,13D724,28,S
1786,1880,16E124,28,S
585,1910,10D824,28,S
232,1959,18B942,28,S
29,1916,12D625,30,S
1407,1915,15D925,30,S
522,1865,14D625,30,S
2037,1920,13D726,30,S
381,1909,10D824,30,S
208,1909,10D825,30,S
502,1900,28D823,30,S
517,1898,12D426,31,S
553,1920,92C717,31,S
157,1915,12D426,31,S
626,1959,13D924,31,S
1792,1910,16E422,31,S
1836,1971,13D726,31,S
1945,1958,13D726,31,S
1506,1911,13D726,31,S
1835,1971,13D726,31,S
1467,1940,13D726,31,S
1223,1940,13D625,31,S
1405,1916,15D925,32,S
375,1896,10D824,32,S
93,1923,10D722,32,S
556,1900,12D426,32,S
537,1909,14D624,33,S
1874,1911,12D625,33,S
146,1915,11D825,33,S
1872,1910,12D724,33,S
635,1892,12D724,33,S
2115,1910,10D925,33,S
2116,1910,10D925,33,S
1460,1972,10D824,34,S
536,1909,10D724,34,S
409,1909,16D824,34,S
607,1909,14D625,35,S
583,1918,28D723,35,S
599,1918,10D824,35,S
472,1918,10D824,35,S
758,1919,27D923,35,S
198,1917,26D326,35,S
621,1943,99E832,35,S
627,1943,99E832,35,S
564,1920,18C732,36,S
73,1890,12D426,36,S
30,1890,12D426,36,S
572,1934,24D718,36,S
622,1909,10D826,36,S
444,1913,12D426,36,S
873,1945,10D926,36,S
550,1907,10D621,36,S
1231,1939,13D625,36,S
1265,1938,23D623,36,S
343,1926,11D825,36,S
141,1920,12B935,37,S
155,1890,10E935,37,S
732,1890,10E935,37,S
53,1929,12D824,37,S
65,1915,13D924,37,S
429,1880,27D724,37,S
512,1900,10D824,37,S
269,1900,10D825,37,S
33,1875,10D825,37,S
273,1875,10D824,37,S
438,1875,10D825,37,S
57,1900,10D825,37,S
249,,18B746,77,D
233,1966,14D625,1,D
902,,31D621,41,D
1034,,99E317,85,D
